age,gender,status,daily screen time hours,daily social media hours,physical exercise,sleep hour,check phone morning,irritable recently,top apps,doomscroll level,ContentFormat_ID,StayFactor_ID,SkipPoint_KEY,VisualEffect_Key,screen_time_level,sleep_level,social_media_usage
55+,Female,G,4 - 6 hours,3 – 5 hours,Yes,More than 8 hours,Always,Yes,Snapchat,2,VID_SHORT,STATS_DATA,SKIP_PACE,NO_CONTENT,Medium,Very High,Extreme 
25-34,Female,G,4 - 6 hours,1 – 3 hours,I was playing and I stopped,7 – 8 hours,Sometimes,No,Youtube,2,VID_SHORT,TONE_STYLE,SKIP_INTEREST,YES_SIG,Medium,High,Moderate 
25-34,Female,E,6 - 8 hours,5 – 7 hours,No,5 – 6 hours,Always,Yes,Youtube,3,VID_SHORT,TONE_STYLE,SKIP_PACE,YES_SIG,High,Low,Extreme 
25-34,Female,E,6 - 8 hours,3 – 5 hours,No,7 – 8 hours,Always,Yes,Facebook,2,VID_SHORT,VISUAL_MQ,SKIP_HOOK,NO_CONTENT,High,High,High
Under 18,Female,S,4 - 6 hours,1 – 3 hours,Yes,6 – 7 hours,Sometimes,i don't know,Tiktok,1,VID_SHORT,STATS_DATA,SKIP_INTEREST,NO_CONTENT,Medium,Good,Moderate 
35-44,Female,E,2 - 4 hours,1 – 3 hours,I was playing and I stopped,5 – 6 hours,Sometimes,No,Facebook,1,VID_SHORT,TONE_STYLE,SKIP_PACE,NO_CONTENT,Low,Low,High
35-44,Male,E,4 - 6 hours,3 – 5 hours,I was playing and I stopped,5 – 6 hours,Always,No,Facebook,1,VID_SHORT,TONE_STYLE,SKIP_HOOK,YES_SIG,Medium,Low,Extreme 
35-44,Male,E,6 - 8 hours,3 – 5 hours,I was playing and I stopped,5 – 6 hours,Always,Yes,Facebook,2,VID_EDUC,TONE_STYLE,SKIP_PACE,YES_SIG,High,Low,High
35-44,Male,E,2 - 4 hours,1 – 3 hours,I was playing and I stopped,6 – 7 hours,Always,No,Facebook,2,STORY_REAL,TONE_STYLE,SKIP_PACE,NO_CONTENT,Low,Good,High
35-44,Male,E,4 - 6 hours,1 – 3 hours,I was playing and I stopped,5 – 6 hours,Always,No,Facebook,2,VID_SHORT,TONE_STYLE,SKIP_HOOK,NO_CONTENT,Medium,Low,Moderate 
45-54,Male,E,Less than 2 hours,Less than 1 hour,No,5 – 6 hours,Sometimes,Yes,Facebook,1,VID_SHORT,STATS_DATA,SKIP_INTEREST,NO_CONTENT,Very Low,Low,Moderate 
35-44,Male,E,More than 8 hours,1 – 3 hours,I was playing and I stopped,Less than 5 hours,Always,Yes,WhatsApp,3,VID_SHORT,VISUAL_MQ,SKIP_HOOK,YES_SIG,Very High,very Low,Low 
25-34,Male,E,4 - 6 hours,3 – 5 hours,I was playing and I stopped,6 – 7 hours,Always,No,Facebook,1,VID_EDUC,STATS_DATA,SKIP_PACE,YES_SIG,Medium,Good,Extreme 
25-34,Female,G,Less than 2 hours,1 – 3 hours,No,5 – 6 hours,Always,Yes,Facebook,2,STORY_REAL,TONE_STYLE,SKIP_PACE,NO_CONTENT,Very Low,Low,
35-44,Male,E,6 - 8 hours,1 – 3 hours,I was playing and I stopped,Less than 5 hours,Sometimes,No,Facebook,2,VID_SHORT,TONE_STYLE,SKIP_INTEREST,NO_CONTENT,High,very Low,Moderate 
45-54,Male,E,4 - 6 hours,3 – 5 hours,I was playing and I stopped,6 – 7 hours,Always,Yes,Facebook,2,VID_SHORT,TONE_STYLE,SKIP_INTEREST,NO_CONTENT,Medium,Good,Extreme 
35-44,Male,E,2 - 4 hours,1 – 3 hours,No,7 – 8 hours,Sometimes,No,Facebook,2,VID_EDUC,TONE_STYLE,SKIP_PACE,NO_CONTENT,Low,High,High
35-44,Male,E,2 - 4 hours,Less than 1 hour,No,5 – 6 hours,Always,Yes,WhatsApp,1,VID_SHORT,STATS_DATA,SKIP_PACE,NO_CONTENT,Low,Low,Low 
45-54,Male,E,4 - 6 hours,3 – 5 hours,I was playing and I stopped,5 – 6 hours,Always,Yes,Facebook,2,STORY_REAL,TONE_STYLE,SKIP_PACE,NO_CONTENT,Medium,Low,Extreme 
35-44,Male,E,6 - 8 hours,5 – 7 hours,I was playing and I stopped,5 – 6 hours,Always,Yes,Facebook,2,STORY_REAL,TONE_STYLE,SKIP_PACE,NO_CONTENT,High,Low,Extreme 
35-44,Male,E,4 - 6 hours,1 – 3 hours,I was playing and I stopped,6 – 7 hours,Always,Yes,Facebook,2,VID_EDUC,VISUAL_MQ,SKIP_PACE,NO_CONTENT,Medium,Good,Moderate 
25-34,Female,G,4 - 6 hours,1 – 3 hours,No,7 – 8 hours,Sometimes,i don't know,WhatsApp,2,VID_SHORT,STATS_DATA,SKIP_HOOK,YES_SIG,Medium,High,Moderate 
25-34,Female,G,2 - 4 hours,1 – 3 hours,No,Less than 5 hours,Sometimes,i don't know,Tiktok,1,VID_SHORT,SUB_HEAD,SKIP_PACE,NO_CONTENT,Low,very Low,High
45-54,Male,E,4 - 6 hours,3 – 5 hours,I was playing and I stopped,Less than 5 hours,Sometimes,i don't know,Facebook,1,VID_SHORT,TONE_STYLE,SKIP_PACE,NO_CONTENT,Medium,very Low,Extreme 
55+,Male,G,2 - 4 hours,Less than 1 hour,No,5 – 6 hours,Always,Yes,Facebook,3,VID_SHORT,TONE_STYLE,SKIP_PACE,NO_CONTENT,Low,Low,Low 
45-54,Male,E,4 - 6 hours,3 – 5 hours,I was playing and I stopped,6 – 7 hours,Sometimes,i don't know,Facebook,1,VID_SHORT,TONE_STYLE,SKIP_PACE,YES_SIG,Medium,Good,Extreme 
45-54,Male,E,4 - 6 hours,3 – 5 hours,I was playing and I stopped,5 – 6 hours,Sometimes,Yes,Tiktok,1,VID_SHORT,STATS_DATA,SKIP_INTEREST,NO_CONTENT,Medium,Low,Extreme 
35-44,Female,G,Less than 2 hours,Less than 1 hour,No,Less than 5 hours,Always,Yes,Facebook,1,VID_SHORT,TONE_STYLE,SKIP_INTEREST,NO_CONTENT,Very Low,very Low,Moderate 
Under 18,Male,S,2 - 4 hours,1 – 3 hours,Yes,5 – 6 hours,Always,Yes,Youtube,1,VID_SHORT,TONE_STYLE,SKIP_PACE,NO_CONTENT,Low,Low,High
45-54,Male,G,Less than 2 hours,Less than 1 hour,I was playing and I stopped,5 – 6 hours,Sometimes,i don't know,Facebook,1,VID_SHORT,STATS_DATA,SKIP_PACE,NO_CONTENT,Very Low,Low,Moderate 
25-34,Female,E,Less than 2 hours,1 – 3 hours,No,5 – 6 hours,Sometimes,No,WhatsApp,1,VID_SHORT,SUB_HEAD,SKIP_PACE,NO_CONTENT,Very Low,Low,
25-34,Female,ES,2 - 4 hours,More than 7 hours,No,7 – 8 hours,Never,No,Instagram,2,VID_SHORT,TONE_STYLE,SKIP_PACE,NO_CONTENT,Low,High,
35-44,Male,E,More than 8 hours,More than 7 hours,I was playing and I stopped,5 – 6 hours,Always,i don't know,Facebook,2,VID_SHORT,VISUAL_MQ,SKIP_HOOK,YES_SIG,Very High,Low,Extreme 
Under 18,Female,S,2 - 4 hours,1 – 3 hours,I was playing and I stopped,More than 8 hours,Sometimes,No,Facebook,1,VID_EDUC,TONE_STYLE,SKIP_INTEREST,NO_CONTENT,Low,Very High,High
45-54,Female,E,6 - 8 hours,3 – 5 hours,No,7 – 8 hours,Always,Yes,Facebook,2,VID_SHORT,TONE_STYLE,SKIP_INTEREST,YES_SIG,High,High,High
55+,Male,E,6 - 8 hours,More than 7 hours,No,5 – 6 hours,Always,No,Facebook,1,STORY_REAL,TONE_STYLE,SKIP_INTEREST,NO_CONTENT,High,Low,
55+,Female,G,4 - 6 hours,5 – 7 hours,No,6 – 7 hours,Sometimes,i don't know,Facebook,1,VID_EDUC,TONE_STYLE,SKIP_INTEREST,NO_CONTENT,Medium,Good,
35-44,Male,E,4 - 6 hours,1 – 3 hours,Yes,5 – 6 hours,Always,No,Facebook,1,VID_SHORT,TONE_STYLE,SKIP_PACE,NO_CONTENT,Medium,Low,Moderate 
25-34,Female,E,More than 8 hours,More than 7 hours,I was playing and I stopped,Less than 5 hours,Always,Yes,Facebook,1,VID_EDUC,TONE_STYLE,SKIP_INTEREST,NO_CONTENT,Very High,very Low,Extreme 
25-34,Male,E,4 - 6 hours,3 – 5 hours,No,5 – 6 hours,Sometimes,Yes,Tiktok,1,VID_SHORT,TONE_STYLE,SKIP_PACE,NO_CONTENT,Medium,Low,Extreme 
25-34,Female,G,More than 8 hours,More than 7 hours,No,More than 8 hours,Always,No,Facebook,2,VID_SHORT,TONE_STYLE,SKIP_INTEREST,NO_CONTENT,Very High,Very High,Extreme 
25-34,Male,E,4 - 6 hours,3 – 5 hours,I was playing and I stopped,5 – 6 hours,Always,Yes,Facebook,2,VID_SHORT,STATS_DATA,SKIP_INTEREST,NO_CONTENT,Medium,Low,Extreme 
35-44,Female,E,4 - 6 hours,3 – 5 hours,No,7 – 8 hours,Sometimes,No,Facebook,2,VID_EDUC,TONE_STYLE,SKIP_PACE,NO_CONTENT,Medium,High,Extreme 
35-44,Male,E,6 - 8 hours,1 – 3 hours,I was playing and I stopped,6 – 7 hours,Sometimes,No,Facebook,1,STORY_REAL,STATS_DATA,SKIP_INTEREST,NO_CONTENT,High,Good,Moderate 
55+,Female,ES,2 - 4 hours,More than 7 hours,No,Less than 5 hours,Never,Yes,Tiktok,1,STORY_REAL,SUB_HEAD,SKIP_INTEREST,NO_CONTENT,Low,very Low,
